,Year,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,gdp, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling,log_rate
1673,2009,1,72.8,166,0,2.83,624.2361828,99,15,3.2,0,99,4.97,99,0.1,7318,7.3,7.3,0.734,13.8,4.301358731606427
1674,2008,1,72.7,166,0,2.49,6.6489825,99,12,29.7,0,99,4.6,99,0.1,83,7.4,7.3,0.728,13.6,4.300002799195291
1675,2007,1,72.9,161,0,3.24,582.5143743,97,13,29.1,0,96,4.24,97,0.1,6574,7.5,7.4,0.72,13.5,4.302712827954156
1676,2006,1,71.8,165,0,3.73,502.3844946,97,3,28.6,0,98,4.38,97,0.1,5695,7.6,7.5,0.713,13.4,4.28771595520264
1677,2005,1,72.1,168,0,3.94,479.9234077,97,7,28.0,0,97,4.47,97,0.1,5116,7.7,7.6,0.704,13.0,4.291828366755733
1678,2004,1,71.9,168,0,4.16,509.3899943,98,28,27.5,0,98,4.29,98,0.1,5229,7.8,7.7,0.696,12.8,4.289088639014612
1679,2003,1,71.5,174,0,4.08,407.779262,97,777,26.9,0,99,4.15,99,0.1,4623,7.9,7.8,0.687,12.6,4.283586561860629
1680,2002,1,71.5,179,0,4.14,369.6317105,88,0,26.4,0,88,4.24,88,0.1,3957,7.9,7.9,0.683,12.5,4.283586561860629
1681,2001,1,71.5,177,0,4.38,70.15536981,92,0,25.8,0,93,3.87,92,0.1,3792,8.0,8.0,0.673,12.2,4.283586561860629
1682,2000,1,71.0,177,0,4.6,336.3213326,88,0,25.3,0,88,3.78,88,0.1,3861,8.1,8.1,0.667,12.1,4.276666119016055
1683,2015,1,76.7,122,30,0.0,0.0,82,0,63.5,35,87,0.0,87,0.1,9143,1.5,1.5,0.758,13.3,4.3528552573736015
1684,2014,1,76.6,122,31,5.26,168.173753,84,3,62.8,36,87,6.3,87,0.1,1452,1.6,1.5,0.754,13.1,4.351567427189173
1685,2013,1,76.6,12,32,5.23,150.408875,82,0,62.1,37,83,6.3,83,0.1,1298,1.6,1.5,0.753,12.9,4.351567427189173
1686,2012,1,76.3,123,33,5.29,112.696486,99,0,61.5,38,99,6.21,99,0.1,982,1.6,1.5,0.748,12.7,4.3476939555933765
1687,2011,1,76.1,124,34,5.3,1117.196097,98,3,6.8,39,97,6.4,97,0.1,9834,1.6,1.6,0.745,12.6,4.345103280569283
1688,2010,1,75.6,127,35,5.21,1033.039737,93,0,6.1,40,95,6.39,95,0.1,8959,1.6,1.6,0.739,12.5,4.338597076746545
1689,2009,1,75.7,13,36,5.27,881.7364327,95,0,59.4,42,95,6.6,95,0.1,7748,1.7,1.6,0.738,12.5,4.33990170837321
1690,2008,1,75.6,127,37,5.36,159.8772264,97,0,58.7,43,96,6.6,96,0.1,9689,1.7,1.6,0.735,12.3,4.338597076746545
1691,2007,1,76.0,123,38,5.35,105.7476131,98,0,57.9,45,98,5.92,98,0.1,933,1.7,1.7,0.731,12.3,4.343805421853684
1692,2006,1,75.8,125,40,5.11,980.2537444,98,23,57.2,47,98,5.83,98,0.1,8767,1.8,1.7,0.723,12.2,4.341204640153626
1693,2005,1,75.3,126,42,4.93,998.3498049,98,6,56.4,49,98,6.4,98,0.1,7986,1.8,1.7,0.719,12.2,4.334672938290411
1694,2004,1,75.4,124,44,4.9,920.8284115,98,64,55.7,52,98,6.11,98,0.1,7199,1.8,1.8,0.714,12.1,4.335982696172475
1695,2003,1,75.0,127,46,4.88,781.2062828,98,44,54.9,55,98,6.2,98,0.1,6751,1.9,1.8,0.708,11.9,4.330733340286331
1696,2002,1,75.0,127,49,4.77,12.1859723,97,0,54.1,58,98,5.52,97,0.1,716,1.9,1.8,0.703,11.6,4.330733340286331
1697,2001,1,75.0,126,52,4.86,13.31109532,97,3,53.2,62,97,5.35,97,0.1,731,1.9,1.9,0.7,11.6,4.330733340286331
1698,2000,1,74.8,129,55,4.99,10.22840118,97,30,52.4,66,97,4.98,97,0.1,672,2.0,1.9,0.694,11.4,4.328098292648326
1699,2015,1,69.4,166,0,0.0,0.0,78,0,69.4,0,71,0.0,72,0.1,0,0.2,0.2,0.637,11.7,4.254193263163997
1700,2014,1,69.4,164,0,1.58,0.0,81,140,68.7,0,76,13.71,77,0.1,0,0.2,0.2,0.639,11.7,4.254193263163997
1701,2013,1,69.2,166,0,1.67,0.0,83,0,68.1,0,81,13.38,81,0.1,0,0.2,0.2,0.641,11.7,4.251348311031766
1702,2012,1,69.0,168,0,2.98,0.0,82,0,67.5,0,81,12.77,81,0.1,0,0.2,0.2,0.64,11.7,4.248495242049359
1703,2011,1,68.9,169,0,1.89,0.0,83,0,67.0,0,83,13.76,84,0.1,0,0.2,0.2,0.638,11.7,4.247065649239764
1704,2010,1,68.7,171,0,1.76,0.0,88,0,66.4,0,85,13.83,85,0.1,0,0.2,0.2,0.633,11.5,4.244200317766478
1705,2009,1,68.5,172,0,2.06,0.0,89,0,65.8,0,81,13.44,91,0.1,0,0.2,0.2,0.629,11.4,4.241326752570746
1706,2008,1,68.4,174,0,1.97,0.0,89,0,65.2,0,88,12.94,85,0.1,0,0.2,0.2,0.628,11.2,4.239886867512759
1707,2007,1,68.2,175,0,1.64,0.0,9,0,64.7,0,79,11.99,79,0.1,0,0.2,0.2,0.625,11.0,4.237000862623624
1708,2006,1,68.0,176,0,1.73,0.0,84,0,64.1,0,81,11.92,67,0.1,0,0.2,0.2,0.622,10.9,4.23410650459726
1709,2005,1,67.9,178,0,1.9,0.0,91,0,63.6,0,94,12.11,94,0.1,0,0.2,0.2,0.617,10.7,4.232656178019613
1710,2004,1,67.7,179,0,2.02,0.0,8,0,63.2,0,82,1.64,78,0.1,0,0.2,0.2,0.616,10.5,4.229749199228304
1711,2003,1,67.5,18,0,3.15,0.0,89,0,62.8,0,88,9.69,92,0.1,0,0.2,0.2,0.612,10.4,4.22683374526818
1712,2002,1,66.2,21,0,2.78,0.0,85,0,62.4,0,84,8.2,84,0.1,0,0.2,0.2,0.608,10.2,4.207673247529104
1713,2001,1,67.2,183,0,2.82,0.0,81,0,62.0,0,79,8.58,75,0.1,0,0.3,0.2,0.604,10.1,4.222444564849416
1714,2000,1,67.0,185,0,2.23,0.0,87,0,61.5,0,85,7.88,85,0.1,0,0.3,0.3,0.0,0.0,4.219507705176107
1715,2013,1,0.0,0,0,0.01,0.0,99,0,0.0,0,99,4.3,99,0.1,0,0.0,0.0,0.0,0.0,0.0
1716,2015,1,68.8,222,1,0.0,0.0,99,20359,52.7,1,99,0.0,99,0.1,3944,2.2,2.3,0.733,14.8,4.2456340097683265
1717,2014,1,68.4,225,1,0.01,281.0023992,99,0,51.5,1,99,4.73,99,0.1,4181,2.2,2.3,0.729,14.8,4.239886867512759
1718,2013,1,68.1,227,1,0.01,241.1958645,98,0,5.4,1,98,4.21,98,0.1,4385,2.2,2.3,0.72,14.7,4.235554730773624
1719,2012,1,67.8,231,1,0.01,253.8285861,99,0,49.2,2,99,4.22,99,0.1,4368,2.2,2.3,0.712,14.7,4.231203744939298
1720,2011,1,67.3,235,1,0.01,257.8403154,99,0,48.0,2,99,4.45,99,0.1,3769,2.2,2.3,0.701,14.6,4.223909766576744
1721,2010,1,66.3,25,1,5.8,22.31624272,96,7,46.9,2,96,4.7,96,0.1,265,2.2,2.3,0.693,14.3,4.209160236650682
1722,2009,1,66.9,235,1,4.61,134.1678932,97,8,45.9,2,96,5.29,95,0.1,1717,2.2,2.3,0.686,13.8,4.21803603456465
1723,2008,1,67.4,225,2,4.26,181.0123284,96,31,44.9,2,95,5.58,96,0.1,2139,2.2,2.3,0.673,13.4,4.225372824628505
1724,2007,1,65.9,26,2,3.79,126.698109,98,12,43.9,2,99,5.6,95,0.1,1634,2.2,2.4,0.661,13.0,4.203198967134183
1725,2006,1,65.0,271,2,2.91,122.1206485,98,26,43.0,2,98,4.68,99,0.1,1334,2.2,2.4,0.649,12.7,4.189654742026425
1726,2005,1,64.5,274,2,2.75,98.68367951,98,0,42.1,2,99,5.9,99,0.1,998,2.3,2.4,0.637,11.8,4.182050142641207
1727,2004,1,64.0,284,2,1.75,73.24150483,98,0,41.3,2,99,5.99,99,0.1,797,2.3,2.4,0.621,11.2,4.174387269895637
1728,2003,1,64.0,271,2,1.31,56.05686428,98,18,4.5,2,98,6.18,98,0.1,646,2.4,2.5,0.609,10.5,4.174387269895637
1729,2002,1,63.8,263,2,2.43,55.60878216,98,1205,39.8,2,98,5.81,98,0.1,571,2.4,2.5,0.599,10.1,4.1713056033582285
1730,2001,1,63.2,266,2,2.87,61.84921903,95,10677,39.1,3,95,5.45,95,0.1,524,2.5,2.6,0.588,9.4,4.162003210695915
1731,2000,1,62.8,274,2,2.79,56.431387,93,925,38.5,3,94,4.92,94,0.1,474,2.6,2.6,0.582,8.9,4.155753190350744
1732,2015,1,76.1,16,0,0.0,0.0,82,0,61.8,0,89,0.0,89,0.1,6461,1.8,1.8,0.804,15.1,4.345103280569283
1733,2014,1,75.9,17,0,0.01,726.0291764,87,0,61.3,0,91,6.42,91,0.1,7378,1.8,1.9,0.803,15.1,4.3425058765115985
1734,2013,1,75.8,19,0,0.01,707.144691,9,0,6.7,0,94,6.43,94,0.1,7186,1.8,1.9,0.799,15.1,4.341204640153626
1735,2012,1,75.6,11,0,0.01,648.1331781,9,0,6.2,0,94,7.25,94,0.1,6586,1.9,1.9,0.797,15.1,4.338597076746545
1736,2011,1,75.4,113,0,6.56,666.7374371,91,5,59.7,0,95,6.92,95,0.1,7318,1.9,2.0,0.792,15.1,4.335982696172475
1737,2010,1,75.3,115,0,6.56,635.4849381,9,5,59.1,0,93,6.9,94,0.1,6682,2.0,2.0,0.787,15.0,4.334672938290411
1738,2009,1,75.0,117,0,6.45,489.6818699,87,0,58.5,0,91,6.7,92,0.1,6698,2.0,2.1,0.785,14.6,4.330733340286331
1739,2008,1,74.6,121,0,6.17,709.1311228,93,0,57.8,0,95,6.13,95,0.1,7325,2.1,2.1,0.774,14.2,4.3254562831854875
1740,2007,1,74.2,125,0,4.98,678.5188944,9,0,57.2,0,92,6.74,92,0.1,5957,2.1,2.2,0.762,13.6,4.320151230955794
1741,2006,1,73.8,13,0,5.38,595.7306923,9,0,56.5,0,9,8.1,9,0.1,4383,2.2,2.2,0.751,13.2,4.314817884980432
1742,2005,1,73.6,133,0,0.0,527.3076721,0,0,55.7,0,0,8.46,0,0.1,3674,2.3,2.3,0.746,12.8,4.312140507209715
1743,2004,1,73.5,134,0,0.01,57.12190146,0,0,55.0,0,0,8.45,0,0.1,338,2.3,2.4,0.74,12.6,4.310799125385514
1744,2003,1,73.5,134,0,0.01,495.0782963,0,0,54.2,0,0,8.91,0,0.1,2789,2.4,2.4,0.0,0.0,4.310799125385514
1745,2002,1,73.4,136,0,0.01,36.48024032,0,0,53.5,0,0,8.33,0,0.1,216,2.5,2.5,0.0,0.0,4.309455941839047
1746,2001,1,73.3,136,0,0.01,33.66981355,0,0,52.7,0,0,8.23,0,0.1,199,2.5,2.6,0.0,0.0,4.308110951723713
1747,2000,1,73.0,144,0,0.01,274.5472605,0,0,51.9,0,0,7.32,0,0.1,1627,2.6,2.7,0.0,0.0,4.30406509320417
1748,2015,1,74.3,95,17,0.0,0.0,99,17,58.5,20,99,0.0,99,0.1,2847,6.4,6.2,0.645,12.1,4.321480134805848
1749,2014,1,74.1,96,18,0.43,198.7343495,99,10,57.5,21,99,5.91,99,0.1,3154,6.4,6.2,0.64,12.1,4.318820558770089
1750,2013,1,73.9,97,18,0.45,179.8598949,99,92,56.5,21,99,5.94,99,0.1,3111,6.4,6.2,0.634,12.1,4.316153890523174
1751,2012,1,73.6,99,19,0.55,19.15853732,99,668,55.5,22,99,6.15,99,0.1,294,6.3,6.2,0.623,11.6,4.312140507209715
1752,2011,1,73.3,14,19,0.54,22.0945504,98,982,54.6,22,98,5.99,99,0.1,339,6.3,6.2,0.612,11.2,4.308110951723713
1753,2010,1,72.8,11,20,0.56,183.6592186,98,633,53.6,23,99,5.86,99,0.1,2834,6.3,6.2,0.603,10.7,4.301358731606427
1754,2009,1,72.3,116,20,0.62,188.2902861,98,834,52.7,23,99,5.67,99,0.1,2861,6.4,6.2,0.596,10.5,4.294560608892605
1755,2008,1,71.8,123,21,0.51,171.3658969,97,1455,51.7,24,99,5.41,99,0.1,2884,6.4,6.3,0.589,10.3,4.28771595520264
1756,2007,1,71.4,128,21,0.56,157.6431445,95,2248,5.8,25,95,5.48,95,0.1,2494,6.4,6.3,0.581,10.0,4.282206299391671
1757,2006,1,71.0,133,22,0.58,127.7632005,95,1217,49.9,25,97,5.23,97,0.1,2191,6.4,6.3,0.575,10.0,4.276666119016055
1758,2005,1,77.0,137,22,0.47,9.469371264,96,0,49.1,26,98,5.6,98,0.1,213,6.5,6.3,0.569,9.8,4.356708826689592
1759,2004,1,72.0,142,23,0.56,100.3638322,95,6399,48.2,27,97,5.22,97,0.1,1948,6.5,6.4,0.561,9.6,4.290459441148391
1760,2003,1,69.9,146,24,0.58,88.16506179,9,10841,47.3,28,91,5.25,91,0.1,1721,6.6,6.4,0.551,9.3,4.2612704335380815
1761,2002,1,69.5,15,25,0.46,66.72933871,92,6000,46.5,29,94,5.31,94,0.1,1413,6.6,6.5,0.54,8.8,4.255612709818223
1762,2001,1,69.0,155,26,0.46,71.11645,84,2724,45.7,30,93,4.44,96,0.1,1336,6.7,6.5,0.53,8.5,4.248495242049359
1763,2000,1,68.6,16,27,0.45,63.42140024,43,7368,44.8,32,95,4.18,95,0.1,1332,6.7,6.6,0.519,8.0,4.242764567340374
1764,2015,1,57.6,355,60,0.0,0.0,8,79,22.6,81,8,0.0,8,3.9,528,3.6,3.5,0.414,9.1,4.070734696582967
1765,2014,1,56.7,375,61,0.01,54.91159475,79,9,22.2,84,79,6.98,79,4.1,623,3.6,3.5,0.409,9.1,4.055257173514054
1766,2013,1,55.3,46,62,1.16,5.813338496,78,8,21.8,87,78,5.9,78,5.1,65,3.6,3.5,0.405,9.1,4.030694535145645
1767,2012,1,54.8,48,64,1.19,49.90987221,76,145,21.3,90,73,5.58,76,6.9,566,3.6,3.5,0.4,9.2,4.021773869387265
1768,2011,1,54.3,47,66,0.94,40.80617976,76,177,2.9,94,73,6.23,76,9.6,526,3.7,3.6,0.397,9.5,4.012772908528289
1769,2010,1,54.0,47,69,0.96,5.743393664,74,2321,2.5,98,73,5.38,74,10.8,419,3.7,3.6,0.39,9.3,4.007333185232471
1770,2009,1,53.8,4,70,1.18,39.75216936,74,60,2.1,101,74,5.43,74,11.3,463,3.7,3.6,0.382,9.2,4.00369019395397
1771,2008,1,53.2,45,72,1.48,0.796915785,75,4,19.7,104,74,4.91,75,12.6,53,3.7,3.7,0.372,8.8,3.9926809084456005
1772,2007,1,52.1,425,74,1.03,53.9502789,75,267,19.3,108,75,5.25,75,14.1,422,3.8,3.7,0.36,8.2,3.9721769282478934
1773,2006,1,51.2,434,78,1.2,58.59644487,75,183,18.9,113,73,6.51,78,16.3,385,3.8,3.7,0.353,7.9,3.955082494888593
1774,2005,1,58.0,434,80,1.23,67.33378735,75,12598,18.5,117,71,6.87,8,16.2,369,3.9,3.8,0.341,7.3,4.07753744390572
1775,2004,1,54.0,429,82,1.54,46.58195631,76,9396,18.1,120,69,5.91,83,15.9,336,3.9,3.8,0.332,7.0,4.007333185232471
1776,2003,1,51.0,424,85,1.68,42.52689559,76,28898,17.7,124,67,6.39,85,15.3,283,4.0,3.9,0.318,6.7,3.9512437185814275
1777,2002,1,49.8,416,87,2.16,40.82597077,76,7155,17.3,127,76,6.45,76,14.5,262,4.0,4.0,0.311,6.2,3.927896354584436
1778,2001,1,49.5,48,90,2.09,37.82511936,25,7085,16.9,132,72,5.64,73,13.4,256,4.1,4.0,0.298,5.8,3.9219733362813143
1779,2000,1,49.0,43,93,1.14,47.17250718,0,7375,16.5,136,69,6.16,7,12.2,277,4.2,4.1,0.291,5.4,3.912023005428146
1780,2015,1,66.6,199,39,0.0,0.0,89,6,23.8,50,89,0.0,89,0.3,1194,12.8,13.0,0.552,9.1,4.213607983048918
1781,2014,1,66.4,21,40,0.01,45.33788677,88,122,22.9,52,88,2.28,88,0.3,1262,12.9,13.1,0.547,9.1,4.210645017918261
1782,2013,1,66.2,22,42,0.7,38.33793462,75,1010,22.1,55,76,2.16,75,0.4,1168,12.9,13.2,0.54,9.1,4.207673247529104
1783,2012,1,65.9,25,44,0.55,38.4279083,58,2175,21.3,58,87,2.22,84,0.5,1171,13.0,13.2,0.533,9.1,4.203198967134183
1784,2011,1,65.6,27,47,0.33,21.23698847,4,2046,2.5,61,9,1.87,84,0.5,1186,13.0,13.3,0.526,9.1,4.198704577546343
1785,2010,1,65.4,29,49,0.3,17.48293752,92,190,19.8,65,9,1.92,9,0.5,987,13.1,13.3,0.515,8.8,4.1956970564823886
1786,2009,1,65.2,211,52,0.28,11.05247903,91,329,19.1,69,9,2.5,9,0.6,741,13.1,13.4,0.504,8.5,4.192680462942962
1787,2008,1,59.2,296,59,0.3,9.53048032,85,333,18.3,96,85,1.87,85,0.6,643,13.2,13.4,0.493,8.2,4.097672352314776
1788,2007,1,64.5,217,58,0.26,0.5305728,85,1088,17.6,78,84,1.68,86,0.6,41,13.2,13.5,0.484,8.1,4.182050142641207
1789,2006,1,64.2,22,61,0.28,4.632776304,75,760,17.0,83,82,1.78,82,0.6,296,13.2,13.5,0.474,8.0,4.177459468932607
1790,2005,1,63.9,224,64,0.28,2.793843188,62,314,16.4,87,86,1.83,73,0.5,247,13.2,13.6,0.465,7.9,4.1728476237100445
1791,2004,1,63.5,228,66,0.44,4.15451614,39,1329,15.7,90,92,1.97,82,0.5,219,13.3,13.6,0.455,7.8,4.1666652238017265
1792,2003,1,63.2,231,69,0.4,3.824212472,8,830,15.2,93,86,1.97,78,0.5,219,13.3,13.6,0.445,7.7,4.162003210695915
1793,2002,1,62.8,235,71,0.41,3.421880938,0,736,14.6,96,84,2.5,79,0.4,143,13.3,13.7,0.435,7.6,4.155753190350744
1794,2001,1,62.5,239,72,0.38,1.917164,0,2519,14.1,98,77,1.8,73,0.4,138,13.3,13.7,0.427,7.6,4.151039905898646
1795,2000,1,62.1,243,73,0.35,2.511437292,0,845,13.6,100,88,1.84,82,0.4,193,13.3,13.7,0.417,7.5,4.144720769547168
1796,2015,1,65.8,248,2,0.0,0.0,92,212,35.7,3,92,0.0,92,2.1,4737,8.2,8.1,0.637,11.7,4.2017030805426
1797,2014,1,65.9,242,2,0.01,751.3982719,88,477,34.9,3,88,8.93,88,2.2,5421,8.6,8.5,0.632,11.7,4.203198967134183
1798,2013,1,66.1,232,3,0.01,760.6550553,89,1028,34.1,3,89,8.53,89,2.5,5488,9.0,8.9,0.625,11.6,4.206184043977636
1799,2012,1,65.8,232,3,0.01,796.8734263,84,86,33.3,4,84,8.24,84,3.7,5749,9.5,9.4,0.619,11.5,4.2017030805426
1800,2011,1,64.3,268,3,7.84,7.896234931,82,79,32.5,4,85,8.78,82,4.7,56,9.9,9.9,0.612,11.5,4.178992036282385
1801,2010,1,63.0,299,3,7.58,719.5535161,83,3138,31.8,4,83,7.89,83,6.2,5191,1.4,1.4,0.604,11.4,4.1588830833596715
1802,2009,1,62.4,36,3,7.99,575.6748069,0,4076,31.0,4,83,8.5,83,8.7,4153,1.9,1.9,0.598,11.4,4.14946386144318
1803,2008,1,61.7,317,3,6.28,59.55033546,0,0,3.2,4,83,7.15,83,11.7,429,11.5,11.4,0.589,11.3,4.138361447638875
1804,2007,1,60.0,356,3,5.12,62.11039296,0,21,29.4,4,81,6.99,86,15.2,422,12.0,12.0,0.578,11.3,4.110873864173311
1805,2006,1,57.0,431,3,4.94,459.1572399,0,3,28.7,4,74,7.2,86,19.2,3881,12.6,12.6,0.57,11.4,4.060443010546419
1806,2005,1,55.1,477,3,4.89,457.7200522,0,4,27.9,4,86,7.32,86,22.1,3573,13.1,13.1,0.565,11.6,4.027135812528651
1807,2004,1,54.7,483,3,4.8,368.2848258,0,4,27.2,4,81,6.47,81,24.0,3288,13.7,13.7,0.559,11.7,4.019980146933238
1808,2003,1,55.0,471,3,5.28,294.6571552,0,262,26.5,4,82,6.52,79,24.7,2482,14.2,14.3,0.554,11.7,4.02535169073515
1809,2002,1,55.7,452,3,5.09,203.7322893,0,1278,25.8,4,78,6.17,77,24.6,1713,14.7,14.8,0.556,11.8,4.037774210733707
1810,2001,1,56.5,426,3,5.09,205.8078833,0,416,25.1,4,79,6.18,78,23.9,1834,15.2,15.4,0.556,11.7,4.051784947803305
1811,2000,1,57.4,41,3,5.73,35.80978512,0,469,24.5,4,8,6.11,79,22.8,257,15.7,15.9,0.559,11.5,4.067315889834181
1812,2013,1,0.0,0,0,0.01,15.60659587,87,0,87.3,0,87,4.65,87,0.1,136,0.1,0.1,0.0,9.6,0.0
1813,2015,1,69.2,165,17,0.0,0.0,91,1599,19.1,21,9,0.0,91,0.1,743,15.7,16.1,0.555,12.2,4.251348311031766
1814,2014,1,69.6,158,18,0.01,8.523486403,92,1279,18.5,22,92,5.8,92,0.1,76,15.9,16.3,0.551,12.4,4.257030144499196
1815,2013,1,69.3,162,19,0.27,80.15505125,92,1861,18.0,24,92,5.69,92,0.1,688,16.1,16.5,0.545,12.3,4.252771798816619
1816,2012,1,68.9,167,20,0.26,80.58788376,9,3362,17.4,25,9,5.89,9,0.2,681,16.3,16.7,0.538,12.3,4.247065649239764
1817,2011,1,68.4,172,22,0.27,112.1229028,92,2359,16.9,27,92,6.73,92,0.2,692,16.5,16.9,0.529,12.0,4.239886867512759
1818,2010,1,68.0,178,23,0.24,84.62302524,82,190,16.4,30,83,6.43,82,0.2,592,16.7,17.2,0.515,11.1,4.23410650459726
1819,2009,1,67.5,183,25,0.22,6.19357029,89,189,15.9,32,93,6.41,89,0.2,48,16.9,17.4,0.502,10.5,4.22683374526818
1820,2008,1,67.0,189,27,0.21,70.27113179,82,2089,15.4,35,82,6.44,82,0.2,473,17.0,17.6,0.492,10.1,4.219507705176107
1821,2007,1,66.6,194,29,0.2,52.22906505,82,1415,14.9,38,82,5.84,82,0.2,393,17.2,17.8,0.486,10.0,4.213607983048918
1822,2006,1,66.0,21,31,0.2,45.87989927,69,2838,14.4,41,91,5.7,89,0.2,348,17.4,18.0,0.476,9.6,4.204692619390966
1823,2005,1,65.4,28,33,0.2,4.259752532,41,5023,13.9,44,78,5.72,75,0.2,317,17.6,18.2,0.469,9.4,4.1956970564823886
1824,2004,1,64.7,218,35,0.21,31.93187316,27,12074,13.4,47,8,5.82,8,0.2,287,17.8,18.4,0.463,9.3,4.185098925490565
1825,2003,1,64.3,22,38,0.2,2.79096532,2,13344,12.9,50,76,5.48,78,0.1,253,18.0,18.6,0.457,9.2,4.178992036282385
1826,2002,1,63.1,238,40,0.19,23.18394594,0,6749,12.4,54,72,5.6,72,0.1,246,18.2,18.8,0.447,8.6,4.160444363926624
1827,2001,1,63.2,23,43,0.09,21.92813881,0,10849,11.9,58,73,5.36,72,0.1,248,18.3,19.0,0.446,9.0,4.162003210695915
1828,2000,1,62.5,238,46,0.08,17.9123368,0,9397,11.4,62,74,5.43,74,0.1,231,18.5,19.2,0.439,8.9,4.151039905898646
1829,2015,0,81.9,57,1,0.0,0.0,94,7,62.1,1,95,0.0,95,0.1,44292,1.0,0.9,0.923,18.1,4.417635062141249
1830,2014,0,81.7,58,1,0.01,1491.703605,92,140,61.6,1,96,1.9,96,0.1,52157,1.0,0.9,0.923,18.1,4.415219602029645
1831,2013,0,81.4,6,1,8.68,1475.030397,51,2632,61.0,1,97,11.4,97,0.1,51574,1.0,0.9,0.922,18.1,4.411585436915426
1832,2012,0,81.1,62,1,9.05,1162.656768,2,10,6.5,1,97,11.1,97,0.1,49474,1.0,0.9,0.921,18.1,4.407938016458383
1833,2011,0,81.1,63,1,8.96,1047.370244,2,51,59.9,1,97,1.53,97,0.1,5354,1.0,0.9,0.911,17.2,4.407938016458383
1834,2010,0,88.0,64,1,9.33,1035.621437,0,15,59.3,1,97,1.48,97,0.1,5338,1.0,0.9,0.906,17.0,4.48863636973214
1835,2009,0,86.0,65,1,9.23,96.8585885,0,15,58.6,1,97,1.29,97,0.1,519,1.0,0.9,0.906,16.9,4.465908118654584
1836,2008,0,83.0,68,1,9.62,10873.40554,0,109,57.9,1,97,9.57,97,0.1,56928,1.0,0.9,0.905,16.8,4.430816798843313
1837,2007,0,82.0,68,1,9.53,9689.732784,0,10,57.3,1,97,9.36,97,0.1,51241,1.0,1.0,0.899,16.6,4.418840607796598
1838,2006,0,79.8,71,1,9.79,8344.010392,0,1,56.5,1,96,9.36,96,0.1,44453,1.0,1.0,0.893,16.5,4.39197696552705
1839,2005,0,79.4,72,1,9.69,6577.508136,0,4,55.8,1,96,9.6,96,0.1,41577,1.0,1.0,0.888,16.4,4.387014176184921
1840,2004,0,79.2,77,1,9.56,5170.130703,0,11,55.0,1,98,8.52,98,0.1,39954,1.0,1.0,0.885,16.5,4.384523514872469
1841,2003,0,78.7,8,1,9.56,4472.6114,0,4,54.2,1,98,8.46,98,0.1,35245,1.1,1.0,0.881,16.5,4.378269585796169
1842,2002,0,78.4,81,1,9.68,3455.197053,0,3,53.4,1,97,8.34,97,0.1,28817,1.1,1.0,0.882,16.9,4.37449836825309
1843,2001,0,78.3,82,1,9.95,3054.515582,0,0,52.6,1,97,7.79,97,0.1,26584,1.1,1.1,0.878,16.7,4.373238128640803
1844,2000,0,78.1,84,1,10.06,2944.640134,0,1019,51.8,1,97,7.42,97,0.1,25921,1.1,1.1,0.873,16.5,4.370712874773608
1845,2015,0,81.6,66,0,8.7,0.0,92,10,67.5,0,92,0.0,92,0.1,3821,0.4,0.3,0.913,19.2,4.414009680526933
1846,2014,0,81.5,67,0,9.07,1040.278436,93,280,66.9,0,93,11.3,93,0.1,4453,0.4,0.3,0.91,19.2,4.412798293340635
1847,2013,0,81.3,69,0,9.18,10019.0763,93,8,66.4,0,92,11.17,92,0.1,42889,0.3,0.3,0.908,19.3,4.410371107683024
1848,2012,0,81.1,7,0,9.2,924.5653683,93,68,65.9,0,93,11.53,93,0.1,3997,0.3,0.3,0.904,19.5,4.407938016458383
1849,2011,0,86.0,72,0,9.47,8342.405764,95,597,65.3,0,95,11.24,95,0.1,38426,0.3,0.3,0.901,19.7,4.465908118654584
1850,2010,0,89.0,71,0,9.62,6664.148708,9,43,64.8,0,93,11.2,93,0.1,33691,0.3,0.3,0.899,20.3,4.499809670330265
1851,2009,0,85.0,73,0,9.24,63.57705167,93,198,64.3,0,92,11.21,92,0.1,282,0.3,0.3,0.895,19.3,4.454347296253507
1852,2008,0,81.0,75,0,9.49,6761.288966,9,0,63.8,0,89,1.7,89,0.1,31287,0.3,0.3,0.894,19.5,4.406719247264253
1853,2007,0,81.0,76,0,9.19,606.3106561,88,25,63.2,0,88,8.35,88,0.1,3259,0.3,0.3,0.891,19.2,4.406719247264253
1854,2006,0,79.9,76,0,9.34,496.2228007,87,20,62.6,0,89,8.65,89,0.1,2667,0.3,0.3,0.888,19.1,4.393213824064446
1855,2005,0,79.9,78,0,9.31,491.055852,87,20,62.1,0,89,8.25,89,0.1,2775,0.3,0.3,0.886,18.9,4.393213824064446
1856,2004,0,79.2,79,0,9.15,442.3774869,88,33,61.5,0,87,7.89,89,0.1,2542,0.3,0.3,0.884,18.4,4.384523514872469
1857,2003,0,79.1,82,0,8.91,3661.792922,89,66,6.9,0,86,7.71,9,0.1,21913,0.3,0.3,0.881,18.2,4.383275854074314
1858,2002,0,78.7,83,0,9.13,2892.257132,89,21,6.3,0,84,7.89,9,0.1,16874,0.3,0.3,0.873,17.5,4.378269585796169
